case_type,issue_type,support_segment,zendesk_tier,channel,sales_territory,billing_region,zendesk_tickets,fin_only_resolved,support_contacts
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 1,Email (Internal),Crypto,Crypto,6,0,6
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 1,Email (Internal),GCR,APAC,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 1,Email (Internal),NORAM,Crypto,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 1,Email (Internal),Singapore/ANZ,APAC,2,0,2
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 1,Email (Internal),UAE,MENA,5,0,5
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 1,Email (Internal),UK,EEA,4,0,4
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 1,Email (Internal),UK,Mauritius,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 1,Email (Internal),UK,UK,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 1,Email (Internal),Unknown,NORAM,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 1,Email (Merchant),Crypto,Crypto,6,0,6
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 1,Email (Merchant),NORAM,NORAM,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 1,Email (Merchant),Northern Europe,EEA,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 1,Email (Merchant),UAE,MENA,4,0,4
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 1,Email (Merchant),UK,UK,3,0,3
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 1,Email (Merchant),Unknown,UK,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 1,Email (Merchant),WW,MENA,2,0,2
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 1,Email (Merchant),WW,Mauritius,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 1,Fin (Dashboard),Northern Europe,EEA,0,2,2
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 1,Fin (Dashboard),UAE,MENA,0,2,2
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 1,Fin (Dashboard),UK,Crypto,0,3,3
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 1,Other,UK,UK,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 1,Webform & API,UAE,MENA,2,0,2
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 1,Webform & API,UK,UK,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Email (Internal),Issuing,UK,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Email (Internal),NORAM,Israel,2,0,2
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Email (Internal),NORAM,UK,2,0,2
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Email (Internal),Northern Europe,EEA,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Email (Internal),Singapore/ANZ,APAC,2,0,2
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Email (Internal),Southern Europe,EEA,3,0,3
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Email (Internal),UAE,MENA,5,0,5
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Email (Internal),UK,EEA,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Email (Internal),UK,UK,4,0,4
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Email (Merchant),Crypto,Crypto,5,0,5
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Email (Merchant),NORAM,Crypto,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Email (Merchant),NORAM,UK,2,0,2
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Email (Merchant),Singapore/ANZ,APAC,2,0,2
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Email (Merchant),Southern Europe,EEA,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Email (Merchant),UAE,MENA,5,0,5
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Email (Merchant),UK,UK,6,0,6
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Email (Merchant),Unknown,EEA,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 2,Email (Merchant),Unknown,NORAM,5,0,5
