case_type,issue_type,support_segment,zendesk_tier,channel,sales_territory,billing_region,zendesk_tickets,fin_only_resolved,support_contacts
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 1,Email (Internal),Crypto,Crypto,7,0,7
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 1,Email (Internal),Crypto,EEA,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 1,Email (Internal),EU,EEA,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 1,Email (Internal),GCR,APAC,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 1,Email (Internal),NORAM,Crypto,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 1,Email (Internal),NORAM,EEA,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 1,Email (Internal),NORAM,UK,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 1,Email (Internal),Northern Europe,EEA,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 1,Email (Internal),Singapore/ANZ,APAC,4,0,4
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 1,Email (Internal),UAE,MENA,10,0,10
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 1,Email (Internal),UK,APAC,2,0,2
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 1,Email (Internal),UK,EEA,6,0,6
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 1,Email (Internal),UK,Mauritius,2,0,2
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 1,Email (Internal),UK,UK,7,0,7
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 1,Email (Internal),Unknown,NORAM,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 1,Email (Internal),Unknown,UK,2,0,2
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 1,Email (Internal),WW,MENA,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 1,Email (Internal),WW,Mauritius,2,0,2
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 1,Email (Internal),WW,UK,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 1,Email (Merchant),Crypto,Crypto,12,0,12
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 1,Email (Merchant),Crypto,EEA,1,0,1
