case_type,issue_type,support_segment,zendesk_tier,channel,sales_territory,billing_region,zendesk_tickets,fin_only_resolved,support_contacts
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 1,Email (Internal),Crypto,Crypto,6,0,6
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 1,Email (Internal),Crypto,EEA,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 1,Email (Internal),GCR,APAC,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 1,Email (Internal),NORAM,Crypto,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 1,Email (Internal),NORAM,UK,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 1,Email (Internal),Northern Europe,EEA,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 1,Email (Internal),Singapore/ANZ,APAC,4,0,4
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 1,Email (Internal),UAE,MENA,8,0,8
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 1,Email (Internal),UK,EEA,4,0,4
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 1,Email (Internal),UK,Mauritius,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 1,Email (Internal),UK,UK,4,0,4
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 1,Email (Internal),Unknown,NORAM,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 1,Email (Internal),WW,Mauritius,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 1,Email (Merchant),Crypto,Crypto,7,0,7
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 1,Email (Merchant),Crypto,EEA,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 1,Email (Merchant),NORAM,NORAM,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 1,Email (Merchant),NORAM,UK,6,0,6
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 1,Email (Merchant),Northern Europe,EEA,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 1,Email (Merchant),UAE,MENA,9,0,9
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 1,Email (Merchant),UK,UK,7,0,7
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 1,Email (Merchant),Unknown,UK,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 1,Email (Merchant),WW,MENA,3,0,3
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 1,Email (Merchant),WW,Mauritius,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 1,Email (Merchant),WW,UK,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 1,Fin (Dashboard),GCR,APAC,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 1,Fin (Dashboard),Mauritius,UK,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 1,Fin (Dashboard),Northern Europe,EEA,0,2,2
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 1,Fin (Dashboard),Singapore/ANZ,APAC,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 1,Fin (Dashboard),UAE,MENA,0,3,3
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 1,Fin (Dashboard),UK,Crypto,0,3,3
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 1,Fin (Dashboard),Unknown,NORAM,0,1,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 1,Other,Singapore/ANZ,APAC,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 1,Other,UK,UK,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 1,Other,WW,MENA,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 1,Other,WW,Mauritius,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 1,Webform & API,Crypto,Crypto,2,0,2
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 1,Webform & API,NORAM,Crypto,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 1,Webform & API,NORAM,NORAM,2,0,2
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 1,Webform & API,NORAM,UK,2,0,2
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 1,Webform & API,UAE,MENA,4,0,4
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 1,Webform & API,UK,UK,3,0,3
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 1,Webform & API,WW,UK,1,0,1
