endpoint,field_name,field_location,field_type,required,description
POST /api/internal/users/{userId}/activate,userId,path,string,true,
POST /okta-event-hook,request body,body,OktaEventRequest,false,
GET /okta-event-hook,,,,,
POST /api/cat/clients/{clientId}/providers,clientId,path,string,true,
POST /api/cat/clients/{clientId}/providers,request body,body,UpsertClientProviderRequest,false,
GET /umt/clients/{clientId}/entities,clientId,path,string,true,
GET /api/supported-idps,,,,,
GET /api/clients/{clientId}/sso,clientId,path,string,true,
GET /api/clients/{clientId}/sso/status,clientId,path,string,true,
PUT /api/clients/{clientId}/sso/status,clientId,path,string,true,
PUT /api/clients/{clientId}/sso/status,request body,body,SetSsoStatusRequest,false,
POST /api/clients/{clientId}/sso/initiate,clientId,path,string,true,
POST /api/clients/{clientId}/sso/initiate,request body,body,SsoConfigurationInitiationRequest,false,
PATCH /api/clients/{clientId}/sso/idp-metadata,clientId,path,string,true,
PATCH /api/clients/{clientId}/sso/idp-metadata,request body,body,SetIdpMetadataRequest,false,
PUT /api/clients/{clientId}/sso/certificate,clientId,path,string,true,
PUT /api/clients/{clientId}/sso/certificate,Certificate,body,binary,true,File upload for certificate
GET /api/clients/{clientId}/sso/certificate,clientId,path,string,true,
PATCH /api/clients/{clientId}/sso/role-mapping,clientId,path,string,true,
PATCH /api/clients/{clientId}/sso/role-mapping,request body,body,UpdateClientRoleMappingRequest,false,
GET /api/clients/{clientId}/sso/entity-mapping-entities,clientId,path,string,true,
PATCH /api/clients/{clientId}/sso/entity-mapping,clientId,path,string,true,
PATCH /api/clients/{clientId}/sso/entity-mapping,request body,body,UpdateEntityMappingRequest,false,
PUT /api/clients/{clientId}/sso/entity-segments-mapping,clientId,path,string,true,
PUT /api/clients/{clientId}/sso/entity-segments-mapping,request body,body,UpdateEntitySegmentsMappingRequest,false,
PUT /api/clients/{clientId}/sso/test,clientId,path,string,true,
PUT /api/clients/{clientId}/sso/verified,clientId,path,string,true,
GET /api/clients/{clientId}/sso/routing/domain-verification-token,clientId,path,string,true,
PUT /api/clients/{clientId}/sso/routing/domains,clientId,path,string,true,
PUT /api/clients/{clientId}/sso/routing/domains,request body,body,UpdateSsoDomainRequest,false,
PUT /api/clients/{clientId}/sso/routing/domains/{domain}/verify,clientId,path,string,true,
PUT /api/clients/{clientId}/sso/routing/domains/{domain}/verify,domain,path,string,true,The domain to verify
PUT /api/clients/{clientId}/sso/routing/status,clientId,path,string,true,
PUT /api/clients/{clientId}/sso/routing/status,request body,body,SetSsoRoutingRuleStatusRequest,false,
PATCH /api/clients/{clientId}/sso/enforce-sso,clientId,path,string,true,
PATCH /api/clients/{clientId}/sso/enforce-sso,request body,body,EnforceSsoSignInRequest,false,
GET /umt/clients/{clientId}/custom-roles,clientId,path,string,true,
POST /umt/clients/{clientId}/custom-roles,clientId,path,string,true,
POST /umt/clients/{clientId}/custom-roles,request body,body,UpsertCustomRoleRequest,false,
GET /umt/custom-roles/{customRoleId},customRoleId,path,string,true,
PUT /umt/custom-roles/{customRoleId},customRoleId,path,string,true,
PUT /umt/custom-roles/{customRoleId},If-Match,header,string,false,
PUT /umt/custom-roles/{customRoleId},request body,body,UpsertCustomRoleRequest,false,
DELETE /umt/custom-roles/{customRoleId},customRoleId,path,string,true,
PUT /umt/custom-roles/{customRoleId}/replace-role/{replacementRoleId},customRoleId,path,string,true,
PUT /umt/custom-roles/{customRoleId}/replace-role/{replacementRoleId},replacementRoleId,path,string,true,
GET /fragments/{id},id,path,string,true,
GET /api/cat/users/{userId},userId,path,string,true,
GET /api/internal/users/{userId},userId,path,string,true,
GET /api/cat/users/{userId}/members,userId,path,string,true,
GET /api/internal/users/{userId}/members,userId,path,string,true,
