Case Type Value,Case Type Tag,Issue Type Value,Issue Type Tag,New Case type,New Issue type,Reason
Transactions,case_transactions,Payment confirmation,case_transactions_issue_status_proof,,,
Transactions,case_transactions,Proof of payment,case_transactions_issue_refund_proof_schemes,,,
Transactions,case_transactions,Authorization failed,case_transactions_issue_authorization_failure,,,
Transactions,case_transactions,Void failed,case_transactions_issue_unable_to_void_payment,,,
Transactions,case_transactions,Capture failed,case_transactions_issue_unable_to_capture_payment,,,
Transactions,case_transactions,Refund failed,case_transactions_issue_refund,,,
Transactions,case_transactions,Refund or payout reversal,case_transactions_issue_incorrect_refund,,,
Transactions,case_transactions,Customer charged after payment expired,case_transactions_issue_customer_charged_after_payment_expired,,,
Transactions,case_transactions,Payout pending or declined,case_transactions_issue_payout_pending_or_declined,,,
Transactions,case_transactions,All payments failed,case_transactions_issue_all_transactions_failing,,,
Transactions,case_transactions,Customer charged twice,case_transactions_issue_duplicate_transactions,,,
Transactions,case_transactions,Disputes,case_transactions_issue_dispute,,,
Transactions,case_transactions,Other,case_transactions_issue_other,,,
"Settlements, invoices and fees",case_settlements,Settlement not received,case_settlements_issue_settlement_not_received,,,
"Settlements, invoices and fees",case_settlements,Balance confirmation,case_settlements_issue_balance_confirmation,,,
"Settlements, invoices and fees",case_settlements,Transfer or hold of funds,case_settlements_issue_transfer_or_hold_of_funds,,,
"Settlements, invoices and fees",case_settlements,Payment not settled,case_settlements_issue_have_i_been_settled_for_this_payment,,,
"Settlements, invoices and fees",case_settlements,Adjustments and fees,case_settlements_issue_fees_charged_for_transaction,,,
"Settlements, invoices and fees",case_settlements,Reconciliation mismatch,case_settlements_issue_mismatch_in_reconciliation,,,
"Settlements, invoices and fees",case_settlements,Invoice requests,case_settlements_issue_general_adjustments,,,
"Settlements, invoices and fees",case_settlements,Other,case_settlements_issue_other,,,
Integration issues,case_integration,Access or API keys,case_integration_issue_access_and_api_keys_issues,,,
Integration issues,case_integration,API or payload error,case_integration_issue_api,,,
Integration issues,case_integration,SDK integration,case_integration_issue_sdk_integration,,,
Integration issues,case_integration,Webhooks,case_integration_issue_webhook_not_working,,,
Integration issues,case_integration,Ecommerce plugins,case_integration_issue_ecommerce_integration,,,
Integration issues,case_integration,Test data errors (sandbox),case_integration_issue_test_account_error,,,
Integration issues,case_integration,HPP or payment links,case_integration_issue_hosted_payment_page,,,
Integration issues,case_integration,Flow or frames,case_integration_issue_flow,,,
Integration issues,case_integration,Network token requests,case_integration_issue_network_token_requests,,,
Integration issues,case_integration,Token migration,case_integration_issue_token_migration,,,
Integration issues,case_integration,SFTP requests,case_integration_issue_sftp_requests,,,
Integration issues,case_integration,Other,case_integration_issue_other,,,
Access and permissions,case_access,User management,case_access_issue_issue_with_adding_or_remove_user,,,
Access and permissions,case_access,Unable to log in,case_access_issue_account_locked_out,,,
Access and permissions,case_access,Permissions,case_access_issue_change_permissions,,,
Access and permissions,case_access,Dashboard error,case_access_issue_dashboard_error,,,
Access and permissions,case_access,Status page,case_access_issue_status_page,,,
Access and permissions,case_access,Single sign-on (SSO),case_access_issue_sso,,,
Access and permissions,case_access,Other,case_access_issue__other,,,
Configuration Changes,case_configuration_change,Pricing change request,case_configuration_issue_pricing_plan_changes,,,
Configuration Changes,case_configuration_change,Terminations,case_configuration_issue_account_termination_related,,,
Configuration Changes,case_configuration_change,Account settings change,case_configuration_issue_operational_change_request,,,
Configuration Changes,case_configuration_change,Enable account feature,case_configuration_issue_enable_account_feature,,,
Configuration Changes,case_configuration_change,Sandbox change request,case_configuration_issue_sandbox_change_request,,,
Configuration Changes,case_configuration_change,Other,case_configuration_issue_other,,,
Request for documentation,case_request_for_documentation,Audit requests,case_rfd_issue_audit_requests,,,
Request for documentation,case_request_for_documentation,"PCI requests, contracts and pricing",case_rfd_issue_pci_dss_docs,,,
Request for documentation,case_request_for_documentation,Additional Customer Information,case_rfd_issue_additional_customer_information,,,
Request for documentation,case_request_for_documentation,Other,case_rfd_issue_other_documents,,,
Reports,case_reports,Custom reports,case_reports_issue_custom_report_needed,,,
Reports,case_reports,Data mismatch,case_reports_issue_mismatch_missing_data,,,
Reports,case_reports,Report not generated,case_reports_issue_report_not_generated,,,
Reports,case_reports,Downloading reports,case_reports_issue_downloading_reports,,,
Reports,case_reports,Report insights,case_reports_issue_report_insights,,,
Reports,case_reports,Other,case_reports_issue_other,,,
3D Secure (3DS) issues,case_3ds_issues,3DS authentication failed,case_3ds_issue_response_code_20151_-_20156,,,
3D Secure (3DS) issues,case_3ds_issues,3DS Page not loading,case_3ds_issue_page_not_loading,,,
3D Secure (3DS) issues,case_3ds_issues,3DS exemptions,case_3ds_issue_3ds_exemptions,,,
3D Secure (3DS) issues,case_3ds_issues,3DS integration,case_3ds_issue_sdk_integration,,,
3D Secure (3DS) issues,case_3ds_issues,Unintended 3DS upgrade,case_3ds_issue_unintended_3ds_upgrade,,,
3D Secure (3DS) issues,case_3ds_issues,3DS test card issues,case_3ds_issue_issues_with_test_cards_sandbox,,,
3D Secure (3DS) issues,case_3ds_issues,Other,case_3ds_issue_other,,,
Fraud detection,case_fraud_detection,Risk strategy/ rules,case_fraud_issue_decline_list_risk_rules,,,
Fraud detection,case_fraud_detection,Risk lists,case_fraud_issue_whitelist,,,
Fraud detection,case_fraud_detection,Risk declines,case_fraud_issue_risk_declines,,,
Fraud detection,case_fraud_detection,Fraud Performance,case_fraud_issue_fraud_performance,,,
Fraud detection,case_fraud_detection,Other,case_fraud_issue_other,,,
Acceptance rate,case_acceptance_performance,Low Approval Rate,case_acceptance_performance_low_approval_rate,,,
Acceptance rate,case_acceptance_performance,Intelligent Acceptance,case_acceptance_performance_intelligent_acceptance,,,
Acceptance rate,case_acceptance_performance,Other,case_acceptance_performance_other,,,
General enquiry,case_feedback,New feature request,case_feedback_new_feature_requests,,,
General enquiry,case_feedback,Existing feature insights,case_feedback_existing_feature_insights,,,
General enquiry,case_feedback,Account configuration details,case_feedback_account_configuration_details,,,
General enquiry,case_feedback,Update contact details,case_feedback_update_contact_details,,,
General enquiry,case_feedback,Planned outages,case_feedback_planned_outages,,,
General enquiry,case_feedback,Other,case_feedback_other,,,
Card issuing,case_issuing,Create or activate card,case_issuing_create_or_activate_card,,,
Card issuing,case_issuing,Manage card,case_issuing_manage_card,,,
Card issuing,case_issuing,Card security,case_issuing_card_security,,,
Card issuing,case_issuing,Physical cards,case_issuing_physical_cards,,,
Card issuing,case_issuing,Revoke or suspend cards,case_issuing_revoke_or_suspend_cards,,,
