Zendesk product field action,Catalogue metadata changed (informational only),Product category,Category changed,Product name,Product pillar,Pillar changed,Product team,Team changed,Product state,State changed,Zendesk tag,Note
ADD NEW VALUE,YES,Agentic Commerce,NO,Commerce Protocols,Value Added Services,NO,Value Added Services Leads,YES,Mixed availability,NO,product_name_agentic_commerce_commerce_protocols,Not currently in Zendesk product field
ADD NEW VALUE,YES,Agentic Commerce,NO,Movement Protocols,Value Added Services,NO,Value Added Services Leads,YES,Roadmap,NO,product_name_agentic_commerce_movement_protocols,Not currently in Zendesk product field
ADD NEW VALUE,YES,Agentic Commerce,NO,Trust Protocols,Value Added Services,NO,Value Added Services Leads,YES,Roadmap,NO,product_name_agentic_commerce_trust_protocols,Not currently in Zendesk product field
RENAME VALUE,YES,Analytics,NO,Analytics AI Assistant,Merchant Services,YES,Data Connectivity & Analytics,YES,,NO,product_name_reporting_analytics_analytics_assistant,"Likely a rename of existing Zendesk value 'Analytics Assistant' (same tag) — rename in place rather than creating a new value, to preserve historical ticket tagging."
ADD NEW VALUE,YES,Analytics,NO,Custom Analytics,Merchant Services,YES,Data Connectivity & Analytics,YES,,NO,product_name_analytics_custom_analytics,Not currently in Zendesk product field
ADD NEW VALUE,YES,Analytics,NO,Payment Lifecycle Analytics,Merchant Services,YES,Data Connectivity & Analytics,YES,,NO,product_name_analytics_payment_lifecycle_analytics,Not currently in Zendesk product field
ADD NEW VALUE,YES,Authentication,NO,Bundled Authentication,Value Added Services,NO,Value Added Services Leads,YES,General availability,NO,product_name_authentication_bundled_authentication,Not currently in Zendesk product field
ADD NEW VALUE,YES,Authentication,NO,Standalone Authentication,Value Added Services,NO,Value Added Services Leads,YES,General availability,NO,product_name_authentication_standalone_authentication,Not currently in Zendesk product field
ADD NEW VALUE,YES,Business Account,NO,Fund Acceleration,Financial Experiences,NO,Client Balances,YES,Mixed availability,NO,product_name_business_account_fund_acceleration,Not currently in Zendesk product field
ADD NEW VALUE,YES,Business Account,NO,Same and Cross-currency Transfers,Financial Experiences,NO,Client Balances,YES,Beta,NO,product_name_business_account_same_and_cross_currency_transfers,Not currently in Zendesk product field
ADD NEW VALUE,YES,Dashboard,N/A (new product),Account Settings,Merchant Services,N/A (new product),Dashboard,N/A (new product),General availability,N/A (new product),product_name_dashboard_account_settings,Not currently in Zendesk product field
ADD NEW VALUE,YES,Dashboard,N/A (new product),Settings & Access,Merchant Services,N/A (new product),Dashboard,N/A (new product),General availability,N/A (new product),product_name_dashboard_settings_access,Not currently in Zendesk product field
ADD NEW VALUE,YES,Identity Verification,NO,AML Screening,Emerging Products,NO,Identity Verification,NO,Beta,NO,product_name_identity_verification_aml_screening,Not currently in Zendesk product field
ADD NEW VALUE,YES,Identity Verification,NO,Address Document Verification,Emerging Products,NO,Identity Verification,NO,Roadmap,NO,product_name_identity_verification_address_document_verification,Not currently in Zendesk product field
ADD NEW VALUE,YES,In-person payments,NO,SoftPOS SDK,Core Network,NO,Card Payments Processing Leads,YES,Roadmap,NO,product_name_in_person_payments_softpos_sdk,Not currently in Zendesk product field
ADD NEW VALUE,YES,In-person payments,NO,Unified Commerce,Core Network,NO,Card Payments Processing Leads,YES,Roadmap,NO,product_name_in_person_payments_unified_commerce,Not currently in Zendesk product field
ADD NEW VALUE,YES,Internal products,NO,Website Screening,Emerging Products,NO,Identity Verification,NO,Beta,NO,product_name_internal_products_website_screening,Not currently in Zendesk product field
ADD NEW VALUE,YES,Issuing,NO,Configuration,Emerging Products,NO,Issuing Experience,NO,Mixed availability,NO,product_name_issuing_configuration,Not currently in Zendesk product field
ADD NEW VALUE,YES,Issuing,NO,Control spending,Emerging Products,NO,Issuing Experience,NO,Mixed availability,NO,product_name_issuing_control_spending,Not currently in Zendesk product field
ADD NEW VALUE,YES,Issuing,NO,Developer needs,Payment Services,NO,Issuing,NO,Mixed availability,NO,product_name_issuing_developer_needs,Not currently in Zendesk product field
ADD NEW VALUE,YES,Issuing,NO,Issuing for Platforms,Emerging Products,NO,Issuing Experience,NO,Roadmap,NO,product_name_issuing_issuing_for_platforms,Not currently in Zendesk product field
ADD NEW VALUE,YES,Partner Integrations and Plugins,N/A (new product),ACI,Global Partnerships,N/A (new product),Partner Engineering,N/A (new product),Roadmap,N/A (new product),product_name_partner_integrations_and_plugins_aci,Not currently in Zendesk product field
ADD NEW VALUE,YES,Partner Integrations and Plugins,NO,CommerceTools,Global Partnerships,NO,Partner Engineering,NO,Roadmap,YES,product_name_partner_integrations_and_plugins_commercetools,Not currently in Zendesk product field
ADD NEW VALUE,YES,Partner Integrations and Plugins,N/A (new product),Dwolla,Global Partnerships,N/A (new product),Partner Engineering,N/A (new product),Mixed availability,N/A (new product),product_name_partner_integrations_and_plugins_dwolla,Not currently in Zendesk product field
ADD NEW VALUE,YES,Partner Integrations and Plugins,N/A (new product),IXOPay,Global Partnerships,N/A (new product),Partner Engineering,N/A (new product),Roadmap,N/A (new product),product_name_partner_integrations_and_plugins_ixopay,Not currently in Zendesk product field
ADD NEW VALUE,YES,Partner Integrations and Plugins,N/A (new product),Ocado Group,Global Partnerships,N/A (new product),UK & EEA Partnerships,N/A (new product),General availability,N/A (new product),product_name_partner_integrations_and_plugins_ocado_group,Not currently in Zendesk product field
ADD NEW VALUE,YES,Partner Integrations and Plugins,NO,Prestashop,Global Partnerships,NO,Partner Engineering,NO,Deprecated,NO,product_name_partner_integrations_and_plugins_prestashop,Not currently in Zendesk product field
ADD NEW VALUE,YES,Partner Integrations and Plugins,NO,Primer.io,Global Partnerships,NO,Partner Engineering,NO,General availability,NO,product_name_partner_integrations_and_plugins_primer_io,Not currently in Zendesk product field
ADD NEW VALUE,YES,Partner Integrations and Plugins,NO,Recurly,Global Partnerships,NO,Partner Engineering,NO,General availability,NO,product_name_partner_integrations_and_plugins_recurly,Not currently in Zendesk product field
ADD NEW VALUE,YES,Partner Integrations and Plugins,NO,SAP OPF,Global Partnerships,NO,Partner Engineering,NO,General availability,NO,product_name_partner_integrations_and_plugins_sap_opf,Not currently in Zendesk product field
ADD NEW VALUE,YES,Partner Integrations and Plugins,N/A (new product),Stripe Orchestration,Global Partnerships,N/A (new product),Partner Engineering,N/A (new product),Roadmap,N/A (new product),product_name_partner_integrations_and_plugins_stripe_orchestration,Not currently in Zendesk product field
ADD NEW VALUE,YES,Partner Integrations and Plugins,NO,Visualsoft,Global Partnerships,NO,Partner Engineering,NO,Mixed availability,NO,product_name_partner_integrations_and_plugins_visualsoft,Not currently in Zendesk product field
ADD NEW VALUE,YES,Partner Integrations and Plugins,N/A (new product),YUNO,Global Partnerships,N/A (new product),Partner Engineering,N/A (new product),Roadmap,N/A (new product),product_name_partner_integrations_and_plugins_yuno,Not currently in Zendesk product field
ADD NEW VALUE,YES,Partner Integrations and Plugins,NO,Zingfit,Global Partnerships,NO,Partner Engineering,NO,Mixed availability,NO,product_name_partner_integrations_and_plugins_zingfit,Not currently in Zendesk product field
ADD NEW VALUE,YES,Payment Methods,NO,Cash App,Core Network,YES,APM - UK,YES,Roadmap,YES,product_name_payment_methods_cash_app,Not currently in Zendesk product field
ADD NEW VALUE,YES,Payment Methods,NO,PayPay,Core Network,YES,APM - UK,YES,Roadmap,YES,product_name_payment_methods_paypay,Not currently in Zendesk product field
NO CHANGE — verify spelling,YES,Payment Methods,NO,UnionPay,Core Network,NO,Card Payments Processing Leads,YES,Beta,NO,product_name_payment_methods_unionpay_gateway,Zendesk currently shows 'UnionPay - Gateway' vs catalogue 'UnionPay' — likely the same network; confirm naming with ZD admins rather than creating a duplicate value.
ADD NEW VALUE,YES,Payment Methods,NO,Zip,Core Network,NO,APM - UK,YES,Roadmap,YES,product_name_payment_methods_zip,Not currently in Zendesk product field
ADD NEW VALUE,YES,Payment Setup,NO,Payment Setup API,Merchant Services,NO,Payment Routing,NO,Beta,YES,product_name_payment_setup_payment_setup_api,Not currently in Zendesk product field
ADD NEW VALUE,YES,Payouts,NO,Pay to Self,Financial Infrastructure,YES,Financial Infrastructure Leads,YES,Mixed availability,NO,product_name_payouts_pay_to_self,Not currently in Zendesk product field
ADD NEW VALUE,YES,Payouts,NO,Stablecoin Settlement,Merchant Services,NO,Card Payouts,NO,Roadmap,NO,product_name_payouts_stablecoin_settlement,Not currently in Zendesk product field
ADD NEW VALUE,YES,Payouts,NO,Third Party Payouts,Emerging Products,NO,Bank Payouts,NO,Mixed availability,NO,product_name_payouts_third_party_payouts,Not currently in Zendesk product field
ADD NEW VALUE,YES,Reporting,NO,Financial Report,Financial Experiences,YES,Client Reporting,YES,,NO,product_name_reporting_financial_report,Not currently in Zendesk product field
ADD NEW VALUE,YES,Reporting,NO,Issuing Report,Emerging Products,YES,Issuing Cards,YES,,NO,product_name_reporting_issuing_report,Not currently in Zendesk product field
ADD NEW VALUE,YES,Reporting,NO,Payment Operations Report,Merchant Services,YES,Data Connectivity & Analytics,YES,,NO,product_name_reporting_payment_operations_report,Not currently in Zendesk product field
ADD NEW VALUE,YES,Unified Payments API,NO,Unified Payments API (UPAPI),Merchant Services,NO,Core Processing,NO,General availability,NO,product_name_unified_payments_api_unified_payments_api_upapi,Not currently in Zendesk product field
